fileName, numberOfThreads, resultsAreCorrect, numberOfUsers, numberOfItems, numberOfFeatures, numberOfNonZeroElements, numberOfIterations, readInput, initialLR, loop, finalFiltering, total
../instances/inst500-500-20-2-100.in, 2, 0, 500, 500, 20, 25328, 10000, 0.064398, 0.000317, 102.533, 0, 102.598
../instances/inst500-500-20-2-100.in, 3, 0, 500, 500, 20, 25328, 10000, 0.075683, 0.000301, 92.1072, 1e-06, 92.1832
../instances/inst500-500-20-2-100.in, 4, 0, 500, 500, 20, 25328, 10000, 0.0856, 0.000391, 102.531, 1e-06, 102.617
../instances/inst2.in, 1, 0, 5, 7, 4, 15, 50000, 0.000182, 8e-06, 0.137876, 0, 0.138066
../instances/inst2.in, 2, 0, 5, 7, 4, 15, 50000, 0.000957, 1e-05, 0.222955, 0, 0.223922
../instances/inst2.in, 3, 0, 5, 7, 4, 15, 50000, 0.000958, 1e-05, 0.620986, 0, 0.621954
../instances/inst2.in, 4, 0, 5, 7, 4, 15, 50000, 0.000969, 1e-05, 0.717012, 0, 0.717991
../instances/inst200-10000-50-100-300.in, 1, 0, 200, 10000, 50, 39819, 1000, 0.112839, 0.007187, 127.736, 0, 127.856
../instances/inst200-10000-50-100-300.in, 2, 0, 200, 10000, 50, 39819, 1000, 0.136978, 0.007368, 187.81, 0, 187.955
../instances/inst200-10000-50-100-300.in, 3, 0, 200, 10000, 50, 39819, 1000, 0.136102, 0.007897, 183.484, 0, 183.628
../instances/inst200-10000-50-100-300.in, 4, 0, 200, 10000, 50, 39819, 1000, 0.183826, 0.00772, 230.05, 1e-06, 230.241
../instances/inst30-40-10-2-10.in, 4, 30, 30, 40, 10, 170, 20000, 0.002925, 2.6e-05, 0.798054, 1e-05, 0.801015
../instances/inst30-40-10-2-10.in, 4, 30, 30, 40, 10, 170, 20000, 0.003001, 2.5e-05, 0.798054, 1.4e-05, 0.801094
../instances/inst30-40-10-2-10.in, 4, 30, 30, 40, 10, 170, 20000, 0.003084, 2.3e-05, 0.798054, 2e-06, 0.801163
../instances/inst30-40-10-2-10.in, 4, 30, 30, 40, 10, 170, 20000, 0.003066, 2.9e-05, 0.798042, 0.000186, 0.801323
../instances/inst30-40-10-2-10.in, 4, 30, 30, 40, 10, 170, 20000, 0.002252, 2.8e-05, 0.715984, 0.000193, 0.718457
../instances/inst30-40-10-2-10.in, 4, 30, 30, 40, 10, 170, 20000, 0.002356, 2.6e-05, 0.715985, 5e-06, 0.718372
../instances/inst30-40-10-2-10.in, 4, 30, 30, 40, 10, 170, 20000, 0.002249, 2.4e-05, 0.716004, 6e-06, 0.718283
../instances/inst30-40-10-2-10.in, 4, 30, 30, 40, 10, 170, 20000, 0.002188, 3e-05, 0.715982, 1.1e-05, 0.718211
